Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Paulista;São Paulo;São Bernardo;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Paulista;Botafogo-SP;São Paulo;1:3;Julio Casares (2021-Presente);3;1;Vitória
Copa Sul-Americana;Tigre;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Copa do Brasil;São Paulo;Ituano;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Botafogo;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa Sul-Americana;São Paulo;Puerto Cabello;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;América-MG;3:0;Julio Casares (2021-Presente);3;0;Vitória
Copa do Brasil;Ituano;São Paulo;0:1;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa Sul-Americana;Deportes Tolima;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Internacional;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;Fortaleza;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa do Brasil;Sport;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;4:2;Julio Casares (2021-Presente);4;2;Vitória
Copa Sul-Americana;Puerto Cabello;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Goiás;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;Grêmio;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa Sul-Americana;São Paulo;Deportes Tolima;5:0;Julio Casares (2021-Presente);5;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Palmeiras;0:2;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Athletico-PR;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Copa Sul-Americana;São Paulo;Tigre;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Fluminense;1:0;Julio Casares (2021-Presente);1;0;Vitória
Copa do Brasil;São Paulo;Palmeiras;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Bragantino;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa do Brasil;Palmeiras;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Santos;4:1;Julio Casares (2021-Presente);4;1;Vitória
Campeonato Brasileiro Série A;Cuiabá;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa do Brasil;Corinthians;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Bahia;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa Sul-Americana;San Lorenzo;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;0:2;Julio Casares (2021-Presente);0;2;Derrota
Copa Sul-Americana;São Paulo;San Lorenzo;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;Flamengo;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa do Brasil;São Paulo;Corinthians;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Botafogo;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa Sul-Americana;LDU Quito;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;América-MG;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;Internacional;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa do Brasil;Flamengo;São Paulo;0:1;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Fortaleza;1:2;Julio Casares (2021-Presente);1;2;Derrota
Copa do Brasil;São Paulo;Flamengo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Coritiba;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Corinthians;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Goiás;São Paulo;2:0;Julio Casares (2021-Presente);0;2;Derrota
